Страны;ИРЧП;ВВП д/н;Население;Темп роста промышленности;Безработица (%);Ожидаемая продолжительность жизни;Кол-во действующих войск на тысячу граждан;Уровень смертности (на 1000 чел.)
Норвегия;0,94;52238,00;4943000,00;0,30;3,60;81,00;5,79;9,10
Австралия;0,94;39692,00;22696000,00;3,00;5,10;81,90;3,59;7,10
Новая Зеландия;0,91;27460,00;4427700,00;2,00;6,50;80,60;2,69;7,10
США;0,90;47123,00;311028000,00;3,30;9,70;79,60;4,76;8,20
Нидерланды;0,89;40777,00;16691100,00;3,20;5,50;80,30;3,24;8,60
Канада;0,89;39033,00;34514000,00;5,80;8,00;81,00;1,61;7,40
Швеция;0,89;37775,00;9349059,00;2,40;8,30;81,30;3,07;10,10
Германия;0,89;35930,00;81757600,00;9,00;7,40;80,20;3,45;10,70
Япония;0,88;33828,00;127960000,00;15,50;5,10;83,20;1,88;9,00
Швейцария;0,87;41765,00;7782900,00;2,40;3,90;82,20;0,47;8,10
Франция;0,87;34092,00;65447374,00;3,50;9,50;81,60;4,27;8,90
Израиль;0,87;29404,00;7695000,00;5,70;6,40;81,20;23,90;5,50
Финляндия;0,87;34401,00;5384400,00;6,00;8,40;80,10;5,17;9,70
Исландия;0,87;36681,00;317630,00;-1,00;8,30;82,10;2,12;6,20
Бельгия;0,87;36274,00;10827519,00;4,00;8,50;80,30;3,94;10,00
Дания;0,87;36764,00;5534738,00;4,00;4,20;78,70;4,24;10,30
Испания;0,86;29651,00;46072834,00;-2,00;20,00;81,30;3,49;8,80
Греция;0,86;28833,00;11306183,00;3,20;12,00;79,70;16,60;9,90
Италия;0,85;29418,00;60340328,00;0,50;8,40;81,40;3,42;10,50
Люксембург;0,85;80304,00;502207,00;1,70;5,50;79,90;1,92;8,70
Австрия;0,85;39454,00;8372930,00;7,00;4,50;80,40;4,23;9,40
Великобритания;0,85;35053,00;62041708,00;1,90;7,90;79,80;3,14;9,90
Сингапур;0,85;57238,00;4987600,00;25,00;2,10;80,70;16,40;5,30
Словения;0,83;27899,00;2076960,00;1,00;10,60;78,80;1,21;9,90
Словакия;0,82;22267,00;5424925,00;7,50;13,50;75,10;4,05;10,00
ОАЭ;0,82;36973,00;4599000,00;3,20;2,40;77,70;14,50;1,40
Эстония;0,81;18274,00;1340021,00;10,00;17,50;73,70;4,13;14,30
Венгрия;0,81;18815,00;10013628,00;11,00;10,70;73,90;3,31;13,20
Катар;0,80;88232,00;1409000,00;27,10;0,50;76,00;14,40;2,40
Португалия;0,80;23113,00;10636888,00;0,90;10,70;79,10;4,25;10,60
Польша;0,80;18837,00;38163895,00;6,50;11,80;76,00;4,22;10,00
Литва;0,78;16997,00;3329227,00;2,50;17,90;72,10;3,53;12,30
Чили;0,78;14982,00;17236000,00;3,20;8,70;78,80;4,75;5,40
Аргентина;0,78;15603,00;40134425,00;8,90;7,90;75,70;1,81;7,70
Латвия;0,77;14330,00;2245800,00;-1,80;14,30;73,00;2,13;13,60
Румыния;0,77;11766,00;21466174,00;1,50;8,20;73,20;4,31;12,40
Хорватия;0,77;17608,00;4435056,00;-0,90;17,60;76,70;6,63;12,10
Мексика;0,75;14266,00;112100000,00;6,00;5,60;76,70;1,82;4,80
Малайзия;0,74;14603,00;28306700,00;7,50;3,50;74,70;3,97;4,50
Болгария;0,74;12052,00;7563710,00;0,40;9,20;73,70;7,85;14,80
Тринидад и Тобаго;0,74;20137,00;1339000,00;2,50;6,40;69,90;2,48;8,10
Беларусь;0,73;13864,00;9467700,00;10,50;1,00;69,60;7,08;14,70
Перу;0,72;9281,00;29132013,00;8,50;7,90;73,70;3,58;6,10
Россия;0,72;15807,00;142905200,00;8,32;7,60;67,20;7,24;16,20
Казахстан;0,71;12401,00;16455000,00;7,30;5,50;65,40;4,33;10,10
Азербайджан;0,71;9953,00;9111000,00;3,50;0,90;70,80;8,10;7,60
Украина;0,71;6665,00;45760051,00;8,00;8,40;68,60;3,22;16,40
Бразилия;0,70;11289,00;194670000,00;11,50;7,00;72,90;1,55;6,30
Грузия;0,70;5057,00;4436400,00;4,00;16,40;72,00;2,74;11,80
Венесуэла;0,70;11889,00;29219000,00;-8,00;12,10;74,20;3,24;5,10
Армения;0,70;5178,00;3262200,00;8,00;7,10;74,20;10,30;9,60
Колумбия;0,69;9445,00;45955000,00;5,50;11,80;73,40;4,66;5,50
Турция;0,68;13392,00;73723000,00;6,00;12,40;72,20;7,03;5,90
Тонга;0,68;7134,00;104000,00;1,00;13,00;72,10;1,50;5,70
Китай;0,66;7518,00;1344210000,00;11,00;4,30;73,50;1,71;7,10
Египет;0,62;6367,00;79786000,00;5,50;9,70;70,50;5,81;5,60
Мальдивские острова;0,60;5483,00;309000,00;-0,90;14,50;72,30;2,67;5,70
Индонезия;0,60;4380,00;231369000,00;3,60;7,10;71,50;1,26;6,30
Марокко;0,57;4773,00;32140000,00;4,40;9,80;71,80;6,23;5,80
Индия;0,52;3290,00;1210868000,00;9,70;10,80;64,40;1,20;8,20
Пакистан;0,49;2789,00;172546500,00;4,90;5,50;67,20;3,72;7,10
Йемен;0,44;2595,00;23580000,00;9,00;38,00;63,90;3,22;7,40
